Bank 22: [np.float32(0.0), np.float32(0.0), np.float32(0.6640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.36328125), np.float32(0.0), np.float32(0.0), np.float32(0.36328125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, 0.36328125, 1.3125, -0.0, -0.0, -0.0, -0.0, 0.36328125, 0.07470703125, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]
Bank 23: [np.float32(0.671875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0703125), np.float32(1.140625), np.float32(0.0), np.float32(1.171875), np.float32(0.53515625), np.float32(0.0), np.float32(0.0), np.float32(0.4140625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.29296875, 0.53515625, 0.875, 0.2314453125, 0.07861328125, -0.0, -0.0, 0.4140625, 1.5078125, 0.349609375, -0.0, -0.0, 0.609375, 0.3515625, -0.0, -0.0]
Bank 24: [np.float32(0.3203125), np.float32(0.0), np.float32(0.087890625), np.float32(0.22167969), np.float32(0.0), np.float32(0.0), np.float32(0.04736328), np.float32(0.54296875), np.float32(0.107910156), np.float32(0.0), np.float32(0.71484375), np.float32(0.0), np.float32(0.68359375), np.float32(0.0), np.float32(0.33984375), np.float32(0.0), -0.0, 0.10791015625, 0.921875, -0.0, -0.0, 0.71484375, -0.0, -0.0, -0.0, 0.68359375, 0.166015625, -0.0, 0.04296875, 0.33984375, 0.36328125, 0.2216796875]
Bank 25: [np.float32(0.032714844), np.float32(0.328125), np.float32(1.015625), np.float32(0.0), np.float32(0.5625), np.float32(0.66796875), np.float32(0.3984375), np.float32(1.0546875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.70703125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.1748046875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.07373046875, 0.70703125, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.365234375, 0.0869140625]
Bank 26: [np.float32(0.29101562), np.float32(0.0), np.float32(0.671875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.20605469), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.5), np.float32(0.0), 0.478515625, 0.267578125, -0.0, -0.0, -0.0, 0.2060546875, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.5, -0.0, -0.0]
Bank 27: [np.float32(1.0703125), np.float32(0.0), np.float32(0.0), np.float32(0.32617188), np.float32(0.0), np.float32(0.734375), np.float32(0.0), np.float32(0.021484375), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.390625), np.float32(0.0), np.float32(0.734375), np.float32(0.69140625), 0.0712890625, -0.0, 0.02392578125, -0.0, 0.703125, 0.1875, 0.0439453125, -0.0, 0.1884765625, 1.390625, 1.1640625, 0.470703125, 0.15234375, 0.734375, 0.111328125, 0.69140625]
Bank 28: [np.float32(0.81640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.68359375), np.float32(0.0), np.float32(0.171875), np.float32(0.0), np.float32(0.78515625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), 0.1337890625, 0.171875, -0.0, -0.0, -0.0, 0.78515625, -0.0, -0.0, -0.0, -0.0, 0.296875, -0.0, -0.0, -0.0, -0.0, -0.0]
Bank 29: [np.float32(0.087890625), np.float32(0.0), np.float32(0.0), np.float32(0.73046875), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.24609375), np.float32(0.4296875), np.float32(0.97265625), np.float32(1.1640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, 0.24609375, 0.17578125, 0.4296875, 0.12255859375, 0.97265625, -0.0, 1.1640625, -0.0, -0.0, 0.33984375, -0.0, -0.0, -0.0, 0.51171875, -0.0]
Bank 30: [np.float32(0.14550781), np.float32(0.0), np.float32(0.18261719), np.float32(0.56640625), np.float32(0.0), np.float32(0.11816406), np.float32(0.7109375), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.025268555), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.2421875), -0.0, -0.0, 0.6796875, -0.0, -0.0, -0.0, -0.0, 0.0252685546875, -0.0, -0.0, 0.345703125, 0.2734375, 0.765625, 0.041015625, 0.1318359375, 0.2421875]
Bank 31: [np.float32(0.23925781), np.float32(0.56640625), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.08251953), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.55859375), np.float32(1.203125), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), -0.0, -0.0, 0.4375, -0.0, 0.46484375, 0.55859375, 0.7421875, 1.203125, 0.6015625, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]
