Bank 18: [np.float32(-0.044870615), -0.0498046875, 0.05517578125, 0.06396484375, -0.10888671875, -0.09521484375, -0.1416015625, -0.06396484375, 0.1103515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 19: [np.float32(0.0062310696), -0.15234375, -0.0908203125, 0.0947265625, 0.049560546875, 0.0303955078125, 0.0096435546875, 0.10400390625, -0.0751953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 20: [np.float32(0.023737311), 0.041259765625, -0.08203125, 0.017578125, -0.0040283203125, -0.014892578125, -0.046630859375, -0.04248046875, -0.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 21: [np.float32(-0.013056397), 0.031494140625, -0.0869140625, -0.123046875, 0.020263671875, 0.11181640625, 0.0111083984375, 0.12158203125, -0.10888671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 22: [np.float32(0.05725342), 0.1376953125, -0.05322265625, 0.1533203125, -0.0625, 0.1005859375, -0.10888671875, -0.0225830078125, 0.1396484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 23: [np.float32(-0.053284943), -0.05419921875, -0.016357421875, 0.04150390625, 0.1435546875, 0.054931640625, -0.0888671875, 0.0050048828125, 0.140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 24: [np.float32(-0.0031127185), -0.005340576171875, 0.07177734375, 0.1064453125, -0.00173187255859375, -0.06787109375, -0.054443359375, 0.036376953125, 0.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 25: [np.float32(-0.036707163), -0.1123046875, -0.119140625, -0.1318359375, 0.1533203125, 0.1572265625, -0.10791015625, 0.08544921875, -0.0167236328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 26: [np.float32(0.028128266), 0.021728515625, -0.0751953125, 0.03857421875, 0.06787109375, -0.1484375, -0.09619140625, 0.0791015625, -0.08935546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 27: [np.float32(0.018646479), -0.1357421875, 0.00885009765625, 0.115234375, 0.11328125, -0.13671875, 0.02099609375, 0.05517578125, 0.0771484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 28: [np.float32(-0.06746298), -0.07568359375, -0.138671875, -0.09423828125, -0.0157470703125, -0.14453125, -0.033447265625, -0.0169677734375, -0.103515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 29: [np.float32(0.009835839), -0.042724609375, -0.035400390625, 0.10888671875, 0.10986328125, 0.048583984375, 0.01251220703125, 0.0947265625, 0.11865234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 30: [np.float32(0.038094044), 0.0732421875, -0.08203125, 0.031982421875, 0.044921875, -0.10595703125, -0.12353515625, -0.09326171875, -0.009033203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 31: [np.float32(0.015443563), 0.10986328125, -0.12353515625, 0.0771484375, 0.09326171875, -0.087890625, 0.051025390625, -0.1201171875, 0.02880859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
