Bank 0: [0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0771484375, 0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, 0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0]
Bank 11: [-0.0, 0.06640625, -0.0, -0.0, -0.0, 0.00946044921875, -0.0, 0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0, 0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375, -0.0, 0.0]
Bank 12: [0.0, 0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, 0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, 0.0, 0.1474609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 13: [0.0, -0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, 0.0, -0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 14: [0.0032501220703125, -0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0106201171875, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0, 0.1474609375, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 15: [-0.0, -0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0, -0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 16: [-0.0, 0.015625, -0.0, -0.0, -0.0, 0.0250244140625, -0.0, 0.0, -0.0, -0.0, -0.0, 0.00067901611328125, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.064453125, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 17: [-0.0, -0.0, -0.0, 0.03173828125, -0.0, 0.00732421875, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0179443359375, 0.006011962890625, -0.0, -0.0, 0.0, -0.0, 0.0206298828125, -0.0, -0.0, -0.0, 0.00531005859375, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Bank 18: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 19: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Bank 20: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
